Name,Private,Apps,Accept,Enroll,Top10perc,Top25perc,F.Undergrad,P.Undergrad,Outstate,Room.Board,Books,Personal,PhD,Terminal,S.F.Ratio,perc.alumni,Expend,Grad.Rate
Hardin-Simmons University,Yes,467,424,350,16,40,1365,334,6300,2980,700,2140,75,79,13.7,10,7054,38
Houghton College,Yes,949,786,302,30,70,1210,26,9990,3550,500,1500,85,90,15,24,8187,67
Marymount College Tarrytown,Yes,478,327,117,9,34,731,370,11510,6450,575,1075,71,93,10.3,30,10502,77
College Misericordia,Yes,1432,888,317,29,58,1121,493,10860,5760,550,900,56,62,12.9,23,8604,96
Bowling Green State University,No,9251,7333,3076,14,45,13699,1213,7452,3352,600,1700,81,89,21.1,14,6918,67
Loras College,Yes,1641,1283,527,20,39,1663,170,11200,4000,500,1200,61,62,14.2,24,7578,70
Davidson College,Yes,2373,956,452,77,96,1601,6,17295,5070,600,1011,95,97,12,46,17581,94
Peru State College,No,701,501,458,10,40,959,457,2580,2624,500,900,48,100,20.1,24,4870,44
King's College,Yes,1456,1053,381,20,45,500,541,10910,5160,400,1795,66,72,15.6,37,7649,87
Longwood College,No,2747,1870,724,12,47,2874,118,7920,3962,550,2200,74,80,18.4,23,5553,62
Connecticut College,Yes,3035,1546,438,42,93,1630,232,18740,6300,600,500,86,95,10.7,40,14773,91
Muhlenberg College,Yes,2519,1836,462,30,61,1656,352,16975,4565,600,850,76,86,12.8,39,10888,83
Northwestern University,Yes,12289,5200,1902,85,98,7450,45,16404,5520,759,1585,96,100,6.8,25,26385,92
Hampden - Sydney College,Yes,817,644,307,20,40,945,1,13218,4773,660,600,95,97,13.3,53,12263,69
Union College KY,Yes,484,384,177,9,45,634,78,7800,2950,500,600,60,88,14.1,9,6864,64
Elms College,Yes,245,208,125,23,46,544,436,11800,4765,450,1700,71,71,11.3,21,8952,86
College of St. Joseph,Yes,141,118,55,12,21,201,173,8300,4850,450,1300,53,53,9.5,19,6936,76
University of Southern Colorado,No,1401,1239,605,10,34,3716,675,7100,4380,540,2948,63,88,19.4,0,5389,36
University of New Hampshire,No,9750,7640,2529,24,62,10358,1338,11180,3862,650,2450,89,87,17.5,16,7855,75
University of Maine at Machias,No,441,369,172,17,45,633,317,6600,3680,600,400,46,46,15.1,4,5935,64
Catawba College,Yes,1083,880,291,13,34,915,80,9270,4100,600,1860,75,82,13.5,27,8425,55
Capital University,Yes,1747,1382,449,34,66,1662,960,13050,4000,500,800,64,69,12.1,27,9557,83
Regis College,Yes,427,385,143,18,38,581,533,12700,5800,450,700,81,85,10.3,37,11758,84
Univ. of Wisconsin at OshKosh,No,4800,2900,1515,14,48,7764,1472,6874,2394,518,1890,73,78,19.2,14,5901,56
Bluffton College,Yes,692,514,209,20,50,760,81,9900,3990,400,900,76,71,13.3,19,9073,58
University of Utah,No,5095,4491,2400,27,53,13894,8374,6857,3975,858,3093,89,93,12.8,9,9275,37
University of Mississippi,No,3844,3383,1669,26,47,7524,804,4916,3810,600,550,81,86,20.3,14,6971,53
Nazareth College of Rochester,Yes,947,798,266,36,68,1274,471,10850,5150,550,800,77,93,13.6,24,8797,61
University of West Florida,No,1558,1254,472,20,57,3754,2477,6172,3994,541,1387,83,87,23.4,12,8488,53
Walsh University,Yes,1092,890,477,27,92,847,497,8670,4180,500,1450,42,58,11.3,33,5738,68
Calvin College,Yes,1784,1512,913,29,56,3401,136,10230,3710,400,1210,75,81,14.8,41,7786,81
Mount Saint Clare College,Yes,325,284,95,16,33,364,88,9900,3650,500,1200,32,37,13.6,43,6525,21
SUNY College at Plattsburgh,No,5549,3583,853,9,40,5004,475,6550,4176,600,1380,80,90,17.9,16,6174,65
Simpson College,Yes,1016,872,300,27,57,1116,602,11250,4980,550,1400,66,73,15.8,36,7411,70
Dowling College,Yes,1011,829,410,9,33,1059,2458,9000,3100,450,1413,77,78,12.4,7,11178,42
North Adams State College,No,1563,1005,240,1,19,1380,136,5542,4330,500,1000,65,71,14.2,17,6562,57
North Carolina State University at Raleigh,No,10634,7064,3176,39,78,16505,5481,8400,6540,600,1300,92,98,17.5,21,9670,62
Dordt College,Yes,604,562,328,25,50,1048,56,9800,2650,450,2800,61,60,12.5,17,7325,87
Missouri Southern State College,No,1576,1326,913,13,50,3689,2200,3840,2852,200,400,52,54,20.3,9,4172,100
Central College,Yes,1283,1113,401,31,65,1355,40,10938,3660,650,600,76,90,13.5,29,8444,67
Christian Brothers University,Yes,880,520,224,16,42,1068,364,9300,3260,600,900,81,81,11.1,24,8129,63
East Texas Baptist University,Yes,379,341,265,10,36,1050,151,4950,2780,530,1500,62,62,15.7,7,5619,38
Alma College,Yes,1267,1080,385,44,73,1306,28,12572,4552,400,400,79,87,15.3,32,9305,68
John Carroll University,Yes,2421,2109,820,27,57,3168,392,11700,5550,600,450,89,90,14.5,28,7738,89
Wartburg College,Yes,1231,1074,345,34,66,1295,105,11600,3610,400,850,66,91,12.4,37,7735,67
St. Bonaventure University,Yes,1489,1313,375,13,45,1688,131,10456,4927,500,1050,91,91,17.7,32,9828,78
Austin College,Yes,948,798,295,42,74,1120,15,11280,4342,400,1150,81,95,13,33,11361,71
Bethel College,Yes,502,384,104,11,28,347,74,6200,2900,600,800,63,63,11.7,13,7623,35
